"","Control 1 (SRR5074528)","Control 2 (SRR5074529)"," Organophosphate 1 (SRR5074530)","Organophosphate 2 (SRR5074531)","Taxonomy"
"9",1,0,0,1,"Buchnera aphidicola"
"13",0,0,1,0,"Dictyoglomus"
"18",0,0,1,0,"Pelobacter"
"20",1,1,1,0,"Phenylobacterium"
"22",1,0,1,0,"Shewanella"
"24",0,0,1,0,"Shewanella putrefaciens"
"31",1,1,1,0,"Myxococcaceae"
"32",1,0,0,0,"Myxococcus"
"34",0,0,1,0,"Myxococcus xanthus"
"35",0,0,1,0,"Myxococcus macrosporus"
"39",1,0,0,0,"Archangiaceae"
"43",1,0,1,1,"Cystobacter fuscus"
"48",0,0,1,0,"Archangium gephyra"
"56",1,0,1,0,"Sorangium cellulosum"
"69",0,0,1,0,"Lysobacter enzymogenes"
"85",0,1,0,0,"Hyphomonas"
"94",0,0,1,0,"Stella humosa"
"114",1,0,0,0,"Gemmata obscuriglobus"
"138",1,0,0,0,"Borrelia"
"157",1,0,1,1,"Treponema"
"158",1,0,1,1,"Treponema denticola"
"162",1,0,0,0,"Treponema phagedenis"
"171",1,0,0,0,"Leptospira"
"174",1,0,0,0,"Leptospira borgpetersenii"
"191",0,0,1,0,"Azospirillum"
"192",0,0,1,0,"Azospirillum brasilense"
"195",1,1,1,0,"Campylobacter coli"
"196",0,1,1,0,"Campylobacter fetus"
"197",1,1,1,0,"Campylobacter jejuni"
"198",1,0,1,0,"Campylobacter hyointestinalis"
"199",0,0,1,0,"Campylobacter concisus"
"201",0,0,0,1,"Campylobacter lari"
"212",0,0,1,0,"Helicobacter acinonychis"
"217",1,1,1,0,"Helicobacter mustelae"
"222",0,0,1,0,"Achromobacter"
"234",0,0,0,1,"Brucella"
"237",1,1,0,1,"Flavobacterium"
"250",1,0,1,0,"Chryseobacterium gleum"
"259",0,0,1,0,"Sphingobacterium thalpophilum"
"262",1,0,1,1,"Francisella"
"285",0,0,1,0,"Comamonas testosteroni"
"287",0,0,1,0,"Pseudomonas aeruginosa"
"293",0,0,1,0,"Brevundimonas diminuta"
"294",1,0,1,0,"Pseudomonas fluorescens"
"300",0,0,1,1,"Pseudomonas mendocina"
"303",0,0,1,0,"Pseudomonas putida"
"305",0,0,1,0,"Ralstonia solanacearum"
"316",1,0,1,0,"Pseudomonas stutzeri"
"317",1,0,0,0,"Pseudomonas syringae"
"329",0,0,1,0,"Ralstonia pickettii"
"338",1,0,1,0,"Xanthomonas"
"339",0,0,1,0,"Xanthomonas campestris"
"352",0,0,0,1,"Azotobacter"
"353",1,0,0,0,"Azotobacter chroococcum"
"357",0,0,1,0,"Agrobacterium"
"358",1,0,1,1,"Agrobacterium tumefaciens"
"359",0,0,1,0,"Agrobacterium rhizogenes"
"374",0,0,1,0,"Bradyrhizobium"
"379",1,0,1,0,"Rhizobium"
"381",0,0,1,0,"Mesorhizobium loti"
"382",1,0,0,1,"Sinorhizobium meliloti"
"394",1,0,1,0,"Sinorhizobium fredii NGR234"
"407",0,0,1,1,"Methylobacterium"
"408",0,0,1,0,"Methylorubrum extorquens"
"417",0,0,0,1,"Methylomonas clara"
"433",0,0,0,1,"Acetobacteraceae"
"434",0,0,1,0,"Acetobacter"
"435",0,0,1,0,"Acetobacter aceti"
"441",0,0,0,1,"Gluconobacter"
"442",0,0,1,1,"Gluconobacter oxydans"
"446",0,0,1,1,"Legionella pneumophila"
"450",0,0,1,0,"Legionella longbeachae"
"452",1,1,0,1,"Legionella spiritensis"
"454",1,0,1,0,"Legionella israelensis"
"469",1,0,1,1,"Acinetobacter"
"470",1,0,0,0,"Acinetobacter baumannii"
"475",1,0,0,0,"Moraxella"
"476",0,1,0,0,"Moraxella bovis"
"480",1,0,1,0,"Moraxella catarrhalis"
"481",1,0,1,0,"Neisseriaceae"
"482",1,0,1,0,"Neisseria"
"486",1,0,0,0,"Neisseria lactamica"
"488",1,0,0,0,"Neisseria mucosa"
"493",0,0,1,0,"Neisseria canis"
"497",0,0,1,0,"Psychrobacter"
"504",0,0,1,1,"Kingella kingae"
"507",0,1,1,1,"Alcaligenes"
"511",0,0,1,0,"Alcaligenes faecalis"
"517",0,0,1,0,"Bordetella"
"520",1,0,0,0,"Bordetella pertussis"
"522",0,0,1,0,"Acidiphilium"
"529",0,0,1,0,"Ochrobactrum anthropi"
"535",0,0,1,0,"Chromobacterium"
"546",1,0,1,0,"Citrobacter freundii"
"547",0,0,1,0,"Enterobacter"
"548",0,0,1,1,"Klebsiella aerogenes"
"550",0,1,1,1,"Enterobacter cloacae"
"551",1,0,0,0,"Erwinia"
"552",0,1,0,0,"Erwinia amylovora"
"553",0,0,0,1,"Pantoea ananatis"
"561",0,0,0,1,"Escherichia"
"562",0,0,1,1,"Escherichia coli"
"563",1,0,0,0,"Shimwellia blattae"
"566",1,0,1,0,"Pseudescherichia vulneris"
"568",0,0,1,0,"Hafnia"
"570",1,1,1,0,"Klebsiella"
"571",0,0,1,0,"Klebsiella oxytoca"
"573",0,1,1,0,"Klebsiella pneumoniae"
"575",1,1,0,0,"Raoultella planticola"
"582",0,0,1,0,"Morganella morganii"
"584",0,0,1,0,"Proteus mirabilis"
"586",1,0,0,0,"Providencia"
"587",0,0,1,0,"Providencia rettgeri"
"590",0,0,1,0,"Salmonella"
"613",1,0,1,1,"Serratia"
"614",0,0,1,0,"Serratia liquefaciens"
"615",0,0,1,0,"Serratia marcescens"
"629",1,1,1,0,"Yersinia"
"630",1,0,0,1,"Yersinia enterocolitica"
"635",0,0,1,0,"Edwardsiella"
"638",1,0,0,0,"Arsenophonus nasoniae"
"641",1,0,0,0,"Vibrionaceae"
"642",1,0,1,1,"Aeromonas"
"645",0,0,1,0,"Aeromonas salmonicida"
"652",0,0,1,0,"Aeromonas schubertii"
"654",1,0,1,0,"Aeromonas veronii"
"662",1,0,1,0,"Vibrio"
"663",0,0,0,1,"Vibrio alginolyticus"
"668",1,0,0,0,"Aliivibrio fischeri"
"670",0,0,1,0,"Vibrio parahaemolyticus"
"672",0,0,1,0,"Vibrio vulnificus"
"673",1,0,0,0,"Grimontia hollisae"
"674",0,0,1,0,"Vibrio mimicus"
"675",0,0,1,0,"Vibrio cincinnatiensis"
"676",0,0,1,0,"Vibrio fluvialis"
"680",0,0,1,0,"Vibrio campbellii"
"687",1,0,1,0,"Vibrio gazogenes"
"703",0,0,1,0,"Plesiomonas shigelloides"
"713",1,0,0,1,"Actinobacillus"
"714",0,0,1,0,"Aggregatibacter actinomycetemcomitans"
"715",1,0,0,0,"Actinobacillus pleuropneumoniae"
"720",1,0,0,0,"Actinobacillus lignieresii"
"724",1,0,1,0,"Haemophilus"
"725",0,0,1,0,"Haemophilus influenzae biotype aegyptius"
"728",0,1,1,0,"Avibacterium paragallinarum"
"729",0,0,1,0,"Haemophilus parainfluenzae"
"730",0,0,1,0,"[Haemophilus] ducreyi"
"732",0,0,1,0,"Aggregatibacter aphrophilus"
"735",1,0,1,1,"Haemophilus parahaemolyticus"
"738",0,0,1,0,"Glaesserella parasuis"
"754",0,1,1,0,"Pasteurella dagmatis"
"766",1,0,1,0,"Rickettsiales"
"774",1,0,0,0,"Bartonella bacilliformis"
"777",1,0,1,0,"Coxiella burnetii"
"779",1,0,0,0,"Ehrlichia ruminantium"
"784",1,1,0,0,"Orientia tsutsugamushi"
"818",1,0,1,1,"Bacteroides thetaiotaomicron"
"824",0,0,1,0,"Campylobacter gracilis"
"848",1,1,1,0,"Fusobacterium"
"856",1,0,1,0,"Fusobacterium varium"
"860",1,0,1,0,"Fusobacterium periodonticum"
"861",0,0,1,0,"Fusobacterium ulcerans"
"870",0,0,1,1,"Dichelobacter nodosus"
"897",0,1,1,1,"Desulfococcus multivorans"
"904",1,0,0,0,"Acidaminococcus"
"907",1,1,1,0,"Megasphaera elsdenii"
"926",0,1,0,0,"Thiomonas intermedia"
"953",0,0,0,1,"Wolbachia"
"955",0,0,0,1,"Wolbachia pipientis"
"959",0,0,1,0,"Bdellovibrio bacteriovorus"
"964",0,0,1,0,"Herbaspirillum seropedicae"
"972",0,1,0,1,"Halanaerobiaceae"
"986",1,1,0,0,"Flavobacterium johnsoniae"
"996",0,1,1,0,"Flavobacterium columnare"
"1010",1,0,1,0,"Sphingobacterium mizutaii"
"1016",1,0,0,0,"Capnocytophaga"
"1017",0,1,1,1,"Capnocytophaga gingivalis"
"1051",0,0,1,0,"Ectothiorhodospira"
"1052",1,0,0,0,"Halorhodospira halochloris"
"1063",0,1,1,0,"Rhodobacter sphaeroides"
"1085",1,1,1,0,"Rhodospirillum rubrum"
"1094",0,0,1,0,"Chlorobium phaeovibrioides"
"1101",1,0,0,0,"Prosthecochloris"
"1107",1,0,1,1,"Chloroflexus"
"1129",1,0,0,0,"Synechococcus"
"1150",1,0,0,0,"Oscillatoriales"
"1162",1,0,0,0,"Nostocaceae"
"1177",1,0,0,0,"Nostoc"
"1184",0,1,1,0,"Leptolyngbya boryana"
"1243",1,0,1,0,"Leuconostoc"
